Column1;Column2;Column3;Column4
Ferronordite-(La);Na3SrLa3+Fe2+Si6O17;Na Sr La Fe Si O;orthorhombic
Ferro-papikeite;NaFe2+2(Fe2+3Al2)(Si5Al3)O22(OH)2;Na Fe Al Si O H;orthorhombic
Ferro-pargasite;NaCa2(Fe2+4Al)(Si6Al2)O22(OH)2;Na Ca Fe Al Si O H;monoclinic
Ferro-pedrizite;NaLi2(Fe2+2Al2Li)Si8O22(OH)2;Na Li Fe Al Si O H;monoclinic
Ferroqingheiite;Na2Fe2+MgAl(PO4)3;Na Fe Mg Al P O;monoclinic
Ferrorhodonite;CaMn2+3Fe2+(Si5O15);Ca Mn Fe Si O;triclinic
Ferro-richterite;NaNaCaFe2+5Si8O22(OH)2;Na Ca Fe Si O H;
Ferrorockbridgeite;(Fe2+,Mn2+)2Fe3+3(PO4)3(OH)4(H2O);Fe Mn P O H;orthorhombic
Ferrorosemaryite;[box]NaFe2+(Fe3+Al)(PO4)3;Na Fe Al P O;monoclinic
Ferrosaponite;Ca0.3(Fe2+,Mg,Fe3+)3(Si,Al)4O10(OH)2·4H2O;Ca Fe Mg Si Al O H;monoclinic
Ferroselite;FeSe2;Fe Se;orthorhombic
Ferrosilite;Fe2+2Si2O6;Fe Si O;monoclinic|orthorhombic
Ferroskutterudite;FeAs3;Fe As;cubic
Ferrostalderite;Cu1+Fe2+2Tl1+As3+2S2-6;Cu Fe Tl As S;tetragonal
Ferrostrunzite;Fe2+Fe3+2(PO4)2(OH)2·6H2O;Fe P O H;triclinic
"Ferrotaaffeite-2&lt;i&gt;N&lt;/i&gt;'2&lt;i&gt;S&lt;/i&gt;";(Fe2+,Mg,Zn2+)3Al8BeO16;Fe Mg Zn Al Be O;hexagonal
"Ferrotaaffeite-6&lt;i&gt;N&lt;/i&gt;'3&lt;i&gt;S&lt;/i&gt;";BeFe2+2Al6O12;Be Fe Al O;hexagonal
Ferro-taramite;Na(NaCa)Fe2+3Al2(Si6Al2)O22(OH)2;Na Ca Fe Al Si O H;monoclinic
Ferrotitanowodginite;Fe2+Ti4+Ta5+2O8;Fe Ti Ta O;monoclinic
Ferrotochilinite;6Fe2+S2-·5Fe2+(OH)2;Fe S O H;monoclinic
Ferrotorryweiserite;Rh5Fe10S16;Rh Fe S;hexagonal
Ferro-tschermakite;[box]Ca2(Fe2+3Al2)(Si6Al2)O22(OH)2;Ca Fe Al Si O H;monoclinic
Ferrotychite;Na6Fe2+2(CO3)4(S6+O4);Na Fe C O S;cubic
Ferrovalleriite;2(Fe,Cu)S·1.53[(Fe2+,Al,Mg)(OH)2];Fe Cu S Al Mg O H;hexagonal
Ferrovorontsovite;(Fe2+5Cu1+)Tl1+As3+4S2-12;Fe Cu Tl As S;cubic
Ferrowodginite;Fe2+Sn4+Ta5+2O8;Fe Sn Ta O;monoclinic
Ferrowyllieite;NaNaFe2+(Fe2+Al)(PO4)3;Na Fe Al P O;monoclinic
Ferruccite;NaBF4;Na B F;orthorhombic
Fersmanite;Ca4(Na,Ca)4(Ti4+,Nb5+)4(Si2O7)2O8F3;Ca Na Ti Nb Si O F;monoclinic
Fersmite;CaNb5+2O6;Ca Nb O;orthorhombic
Feruvite;CaFe2+3(Al5Mg)(Si6O18)(BO3)3(OH)3OH;Ca Fe Al Mg Si O B H;hexagonal
Fervanite;Fe3+4V5+4O16·5H2O;Fe V O H;
Fetiasite;(Fe2+,Fe3+,Ti4+)3O2As3+2O5;Fe Ti O As;monoclinic
Fettelite;Ag1+16Hg2+As3+4S2-15;Ag As S Hg;hexagonal|monoclinic
Feynmanite;Na(U6+O2)(S6+O4)(OH)·3.5H2O;Na U O S H;monoclinic
Fianelite;Mn2+2V5+2O7·2H2O;Mn V O H;monoclinic
Fibroferrite;Fe3+S6+O4(OH)·5H2O;Fe S O H;hexagonal|monoclinic
Fichtelite;C19H34;C H;monoclinic
Fiedlerite;Pb2+3Cl4F(OH)·H2O;Pb Cl F O H;monoclinic|triclinic
Fiemmeite;Cu2+2((C2)6+O4)(OH)2·2H2O;Cu C O H;monoclinic
Filatovite;K(Al,Zn2+)2(As5+,Si)2O8;K Al Zn As Si O;monoclinic
Filipstadite;(Fe3+0.5Sb5+0.5)Mn2+2O4;Fe Sb Mn O;cubic
Fillowite;Na3CaMn2+11(PO4)9;Na Ca Mn P O;hexagonal
Finchite;Sr(U6+O2)2(V5+2O8)·5H2O;Sr U O V H;orthorhombic
Finescreekite;[Pb2+4(OH)4](S6+O3S2-)2;Pb O H S;orthorhombic
Fingerite;Cu2+11O2(V5+O4)6;Cu O V;triclinic
Finnemanite;Pb2+5(As3+O3)3Cl;Pb As O Cl;hexagonal
Fischesserite;Ag3AuSe2;Ag Au Se;cubic
Fivegite;K4Ca2[AlSi7O17(O2-x(OH)x)][(H2O)2-x(OH)x]Cl (x = 0-2);K Ca Al Si O H Cl;orthorhombic
Fiz?lyite;Ag1+5Pb2+14Sb3+21S2-48;Ag Pb Sb S;monoclinic
Flaggite;Pb2+4Cu2+4Te6+2(S6+O4)2O11(OH)2(H2O);Pb Cu Te S O H;triclinic
Flagstaffite;C10H22O3;C H O;orthorhombic
Flamite;Ca8-x(Na,K)x(SiO4)4-x(PO4)x;Ca Na K Si O P;hexagonal
Fleetite;Cu2RhIrSb2;Cu Rh Ir Sb;cubic
Fleischerite;Pb2+3Ge(S6+O4)2(OH)6·3H2O;Pb Ge S O H;hexagonal
Fleisstalite;Fe2+(S4+O3)·3H2O;Fe S O H;orthorhombic
Fletcherite;Cu2+Ni3+2S2-4;Cu Ni S;cubic
Flinkite;Mn2+2Mn3+As5+O4(OH)4;Mn As O H;orthorhombic
Flinteite;K2Zn2+Cl4;K Zn Cl;orthorhombic
Florencite-(Ce);Ce3+Al3(PO4)2(OH)6;Ce Al P O H;hexagonal
Florencite-(La);La3+Al3(PO4)2(OH)6;La Al P O H;
Florencite-(Nd);NdAl3(PO4)2(OH)6;Nd Al P O H;hexagonal
Florencite-(Sm);Sm3+Al3(PO4)2(OH)6;Sm Al P O H;hexagonal
Florenskyite;FeTiP;Fe Ti P;orthorhombic
Florensovite;Cu1+(Cr3+1.5Sb5+0.5)S2-4;Cu Cr Sb S;cubic
Fl?rkeite;(K3Ca2Na)[Al8Si8O32]·12H2O;K Ca Na Al Si O H;triclinic
Fluckite;CaMn2+(As5+O3OH)2·2H2O;Ca Mn As O H;triclinic
Fluellite;Al2(PO4)F2(OH)·7H2O;Al P O F H;orthorhombic
Fluoborite;Mg3(BO3)F3;Mg B O F;hexagonal
Fluocerite-(Ce);Ce3+F3;Ce F;hexagonal
Fluocerite-(La);La3+F3;La F;hexagonal
Fluoralforsite;Ba5(PO4)3F;Ba P O F;hexagonal
Fluorannite;KFe2+3(Si3Al)O10F2;K Fe Si Al O F;monoclinic
Fluorapatite;Ca5(PO4)3F;Ca P O F;monoclinic|hexagonal
Fluorapophyllite-(Cs);CsCa4(Si8O20)F(H2O)8;Cs Ca Si O F H;tetragonal
Fluorapophyllite-(K);KCa4Si8O20F·8H2O;K Ca Si O F H;tetragonal
Fluorapophyllite-(Na);NaCa4Si8O20F·8H2O;Na Ca Si O F H;orthorhombic
Fluorapophyllite-(NH_4_);(N3-H4)Ca4(Si8O20)F·8H2O;N H Ca Si O F;tetragonal
Fluorarrojadite-(BaFe);Na2CaBaFe2+Fe2+13Al(PO4)11(PO3OH)F2;Na Ca Ba Fe Al P O H F;monoclinic
Fluorarrojadite-(BaNa);BaNa4CaFe2+13Al(PO4)11(PO3OH)F2;Ba Na Ca Fe Al P O H F;monoclinic
Fluorbarytolamprophyllite;(BaK)Ti4+2Na3Ti4+(Si2O7)2O2F2;Ba K Ti Na Si O F;monoclinic
Fluorbritholite-(Ce);Ca2Ce3+3(SiO4)3F;Ce Ca Si O F;hexagonal
Fluorbritholite-(La);Ca2La3+3(SiO4)3F;Ca La Si O F;hexagonal
Fluorbritholite-(Nd);Ca2Nd3(SiO4)3F;Ca Nd Si O F;hexagonal
Fluorbritholite-(Y);(Y,Ca)5(SiO4)3F;Y Ca Si O F;hexagonal
Fluor-buergerite;NaFe3+3Al6(Si6O18)(BO3)3O3F;Na Fe Al Si O B F;hexagonal
Fluorcalciobritholite;(Ca,REE)5(SiO4,PO4)3F;Ca REE Si O P F;hexagonal
Fluorcalciomicrolite;(Ca,Na)2Ta5+2O6F;Ca Na Ta O F;cubic
Fluorcalciopyrochlore;(Ca,Na)2(Nb5+,Ti4+)2O6F;Ca Na Nb Ti O F;cubic
Fluorcalciorom?ite;(Ca,Na)2Sb5+2O6F;Ca Na Sb O F;cubic
Fluorcanasite;K3Na3Ca5Si12O30F4·H2O;K Na Ca Si O F H;monoclinic
Fluorcaphite;SrCaCa3(PO4)3F;Sr Ca P O F;hexagonal
Fluorcarletonite;KNa4Ca4Si8O18(CO3)4F·H2O;K Na Ca Si O C F H;tetragonal
Fluorcarmoite-(BaNa);Ba[box]Na2Na2[box]CaMg13Al(PO4)11(PO3OH)F2;Ba Na Ca Mg Al P O H F;monoclinic
Fluorchegemite;Ca7(SiO4)3F2;Ca Si O F;
Fluor-dravite;NaMg3Al6(Si6O18)(BO3)3(OH)3F;Na Mg Al Si O B H F;hexagonal
Fluor-elbaite;Na(Li1.5Al1.5)Al6(Si6O18)(BO3)3(OH)3F;Na Li Al Si O B H F;hexagonal
Fluorellestadite;Ca5(SiO4)1.5(S6+O4)1.5F;Ca Si O S F;hexagonal
Fluorite;CaF2;Ca F;cubic
Fluorkyuygenite;Ca12Al14O32[(H2O)4F2];Ca Al O H F;cubic
Fluorlamprophyllite;(SrNa)Ti4+2Na3Ti4+(Si2O7)2O2F2;Sr Na Ti Si O F;monoclinic
Fluor-liddicoatite;Ca(Li2Al)Al6(Si6O18)(BO3)3(OH)3F;Ca Li Al Si O B H F;hexagonal
Fluorluanshiweiite;KLiAl1.5[box]0.5(Si3.5Al0.5)O10F2;K Li Al Si O F;monoclinic
Fluormacraeite;[(H2O)K]Mn2+2(Fe3+2Ti4+)(PO4)4(OF)(H2O)10·4H2O;H O K Mn Fe Ti P F;monoclinic
Fluormayenite;Ca12Al14O32[[box]4F2];Ca Al O F;cubic
Fluornatrocoulsellite;(Na1.5Ca0.5)(Mg1.5Al0.5)F6F;Na Ca Mg Al F;hexagonal
Fluornatromicrolite;(Na1.5Bi3+0.5)Ta5+2O6F;Na Bi Ta O F;cubic
Fluornatropyrochlore;(Na,Pb2+,Ca,REE3+,U6+)2Nb5+2O6F;Na Pb Ca REE U Nb O F;cubic
Fluoro-cannilloite;CaCa2(Mg4Al)(Si5Al3)O22F2;Ca Mg Al Si O F;monoclinic
Fluorocronite;Pb2+F2;Pb F;cubic
Fluoro-edenite;NaCa2Mg5(Si7Al)O22F2;Na Ca Mg Si Al O F;monoclinic
Fluorokinoshitalite;BaMg3Al2Si2O10F2;Ba Mg Al Si O F;monoclinic
Fluoro-leakeite;NaNa2(Mg2Al2Li)Si8O22F2;Na Mg Al Li Si O F;monoclinic
Fluoro-nyb?ite;NaNa2(Mg3Al2)(Si7Al)O22F2;Na Mg Al Si O F;monoclinic
Fluoro-pargasite;NaCa2(Mg4Al)(Si6Al2)O22F2;Na Ca Mg Al Si O F;monoclinic
Fluoro-pedrizite;NaLi2(Mg2Al2Li)Si8O22F2;Na Li Mg Al Si O F;monoclinic
Fluorophlogopite;KMg3(Si3Al)O10F2;K Mg Si Al O F;hexagonal|monoclinic
Fluoro-richterite;Na(NaCa)Mg5Si8O22F2;Na Ca Mg Si O F;monoclinic
Fluoro-riebeckite;[box]Na2(Fe2+3Fe3+2)Si8O22F2;Na Fe Si O F;monoclinic
Fluoro-taramite;Na(NaCa)(Mg3Al2)(Si6Al2)O22F2;Na Ca Mg Al Si O F;monoclinic
Fluorotetraferriphlogopite;KMg3Fe3+Si3O10F2;K Mg Fe Si O F;monoclinic
Fluoro-tremolite;[box]Ca2Mg5Si8O22F2;Ca Mg Si O F;monoclinic
Fluorowardite;NaAl3(PO4)2F2(OH)2·2H2O;Na Al P O H F;tetragonal
Fluorphosphohedyphane;Ca2Pb2+3(PO4)3F;Ca Pb P O F;hexagonal
Fluorpyromorphite;Pb2+5(PO4)3F;Pb P O F;hexagonal
Fluor-rewitzerite;[(H2O)K]Mn2+2(Al2Ti4+)(PO4)4(OF)(H2O)10·4H2O;H O K Mn Al Ti P F;monoclinic
Fluor-rossmanite;[box](Al2Li)Al6(Si6O18)(BO3)3(OH)3F;Al Li Si O B H F;hexagonal
Fluor-schorl;NaFe2+3Al6(Si6O18)(BO3)3(OH)3F;Na Fe Al Si O B H F;hexagonal
Fluorsigaiite;Ca2Sr3(PO4)3F;Ca Sr P O F;hexagonal
Fluorstrophite;SrCaSr3(PO4)3F;Sr Ca P O F;hexagonal
Fluor-tsilaisite;NaMn2+3Al6(Si6O18)(BO3)3(OH)3F;Na Mn Al Si O B H F;hexagonal
Fluor-uvite;CaMg3(Al5Mg)(Si6O18)(BO3)3(OH)3F;Ca Mg Al Si O B H F;hexagonal
Fluorvesuvianite;Ca19(Al,Mg)13(SiO4)10(Si2O7)4O(F,OH)9;Ca Al Mg Si O F H;tetragonal
Fluorwavellite;Al3(PO4)2(OH)2F·5H2O;Al P O H F;orthorhombic
Flurlite;Zn2+Zn2+3Fe3+(PO4)3(OH)2(H2O)7·2H2O;Zn Fe P O H;monoclinic
Foggite;CaAlPO4(OH)2·H2O;Ca Al P O H;orthorhombic
Fogoite-(Y);Ca2Y2Na3Ti4+(Si2O7)2(OF)F2;Ca Y Na Ti Si O F;triclinic
Foitite;[box](Fe2+2Al)Al6(Si6O18)(BO3)3(OH)3OH;Fe Al Si O B H;hexagonal
Folvikite;Sb5+Mn3+(Mg,Mn2+)10O8(BO3)4;Sb Mn Mg O B;monoclinic
Fontanite;Ca(U6+O2)3(CO3)2O2·6H2O;Ca U O C H;monoclinic
Fontarnauite;(Na,K)2(Sr,Ca)(S6+O4)[B5O8(OH)]·2H2O;Na K Sr Ca S O B H;monoclinic
Foordite;Sn2+Nb5+2O6;Sn Nb O;monoclinic
Footemineite;Ca2Mn2+5Be4(PO4)6(OH)4·6H2O;Ca Mn Be P O H;triclinic
For?tite;Cu2+2Al2(As5+O4)(OH,O,H2O)6;Cu Al As O H;
Formanite-(Y);YTa5+O4;Y Ta O;monoclinic
Formicaite;Ca(HCOO)1-2;Ca C H O;tetragonal
Fornacite;Cu2+Pb2+2(Cr6+O4)(As5+O4)(OH);Cu Pb Cr O As H;monoclinic
Forsterite;Mg2SiO4;Mg Si O;orthorhombic
Foshagite;Ca4(SiO3)3(OH)2;Ca Si O H;triclinic
Foug?rite;Fe2+4Fe3+2(OH)12(CO3)·3H2O;Fe O H C;hexagonal
Fourmarierite;Pb2+1-xO3-2x(U6+O2)4(OH)4+2x·4H2O;Pb O U H;orthorhombic
Fowlerite;(Mn2+,Zn2+)SiO3;Mn Zn Si O;
Fraipontite;(Zn2+,Al)3(Si,Al)2O5(OH)4;Zn Al Si O H;monoclinic
Francevillite;Ba(U6+O2)2(V5+O4)2·5H2O;Ba U O V H;orthorhombic
Franciscanite;Mn2+6(V5+[box])(SiO4)2O3(OH)3;Mn V Si O H;hexagonal
Francisite;Cu2+3Bi3+(Se4+O3)2O2Cl;Cu Bi Se O Cl;orthorhombic
Franckeite;Pb2+21.7Sn4+9.3(Fe2+,Fe3+)4.0Sb3+8.1S2-56.9;Pb Sn Fe Sb S;triclinic
Francoanellite;K3Al5(PO3OH)6(PO4)2·12H2O;K Al P O H;hexagonal
Fran?oisite-(Ce);Ce3+(U6+O2)3(PO4)2O(OH)·6H2O;Ce U O H P;monoclinic
Fran?oisite-(Nd);Nd(U6+O2)3(PO4)2O(OH)·6H2O;Nd U O H P;monoclinic
Franconite;NaNb5+2O5(OH)·3H2O;Na Nb O H;monoclinic
Frankamenite;K3Na3Ca5Si12O30F3(OH)·H2O;K Na Ca Si O F H;triclinic
Frankdicksonite;BaF2;Ba F;cubic
Frankhawthorneite;Cu2+2Te6+O4(OH)2;Cu Te O H;monoclinic
Franklinfurnaceite;Ca2Mn2+3Mn3+Fe3+Zn2+2Si2O10(OH)8;Ca Mn Fe Zn Si O H;monoclinic
Franklinite;Zn2+Fe3+2O4;Zn Fe O;cubic
Franklinphilite;(K,Na)4(Mn2+,Mg,Zn2+)48(Si,Al)72(O,OH)216·6H2O;K Na Mn Mg Zn Si Al O H;triclinic
Franksousaite;Pb2+Cu2+(Se6+O4)(OH)2;Pb Cu Se O H;monoclinic
Fransoletite;Ca3Be2(PO4)2(PO3OH)2·4H2O;Ca Be P O H;monoclinic
Franzinite;(Na,K)30Ca10(Si30Al30)O120(S6+O4)10·2H2O;Na K Ca Si Al O S H;hexagonal
Freboldite;CoSe;Co Se;hexagonal
Fredrikssonite;Mg2Mn3+O2(BO3);Mg Mn O B;orthorhombic
Freedite;Cu1+Pb2+8(As3+O3)2O3Cl5;Cu Pb As O Cl;monoclinic
Freieslebenite;Ag1+Pb2+Sb3+S2-3;Ag Pb Sb S;monoclinic
Freitalite;C14H10;C H;monoclinic
Fresnoite;Ba2Ti4+O(Si2O7);Ba Ti O Si;tetragonal
Freudenbergite;Na(Ti4+3Fe3+)O8;Na Ti Fe O;monoclinic
Friedelite;Mn2+8Si6O15(OH)10;Mn Si O H;monoclinic
Friedrichbeckeite;K([box]Na)Mg2(MgBe2Si12)O30;K Na Mg Be Si O;hexagonal
Friedrichite;Cu1+5Pb2+5Bi3+7S2-18;Cu Pb Bi S;orthorhombic
Friisite;Pb8Al3Si8O27Cl3;Pb Al Si O Cl;hexagonal
Fritzscheite;Mn2+(U6+O2)2(V5+O4,PO4)2·4H2O;Mn U O V P H;orthorhombic
Frohbergite;FeTe2;Fe Te;orthorhombic
Frolovite;Ca[B(OH)4]2;Ca B O H;triclinic
Frondelite;(Mn2+0.5Fe3+0.5)2Fe3+3(PO4)3(OH)5;Mn Fe P O H;orthorhombic
Froodite;PdBi2;Pd Bi;monoclinic
Fuchunite;Ba(C2H3O3)2(C2H4O3)2;Ba C H O;monoclinic
Fuenzalidaite;K3Na5Mg5(I5+O3)6(S6+O4)6·6H2O;K Na Mg I O S H;hexagonal
Fuettererite;Pb2+3Cu2+6Te6+O6(OH)7Cl5;Pb Cu Te O H Cl;hexagonal
Fukalite;Ca4Si2O6(CO3)(OH)2;Ca Si O C H;monoclinic|orthorhombic
Fukuchilite;Cu2+3Fe2+(S2)2-4;Cu Fe S;cubic
Fulbrightite;Ca(V4+O)2(As5+O4)2·4H2O;Ca V O As H;triclinic
F?l?ppite;Pb2+3Sb3+8S2-15;Pb Sb S;monoclinic
Furongite;Al13(U6+O2)7(PO4)13(OH)14·58H2O;Al U O P H;triclinic
Furutobeite;(Cu1+,Ag1+)6Pb2+S2-4;Cu Ag Pb S;monoclinic
Fuyuanite;Mg7Nb5+6O18(OH)8;Mg Nb O H;hexagonal
Gabrielite;Tl1+2Ag1+Cu1+2As3+3S2-7;Tl Ag Cu As S;triclinic
Gabrielsonite;Pb2+Fe3+(As3+O3)O;Pb Fe As O;orthorhombic
Gachingite;Au(Te1-xSex) 0.2 ? x ? 0.5;Au Te Se;orthorhombic
Gadolinite-(Ce);Fe2+Be2Ce3+2(SiO4)2O2;Ce Fe Be O Si;monoclinic
Gadolinite-(Nd);Nd2Fe2+Be2O2(SiO4)2;Nd Fe Be O Si;monoclinic
Gadolinite-(Y);Fe2+Be2Y2(SiO4)2O2;Y Fe Be O Si;monoclinic
Gagarinite-(Ce);NaCaCe3+F6;Na Ca Ce F;hexagonal
Gagarinite-(Y);NaCaYF6;Na Ca Y F;hexagonal
Gageite;Mn2+21Si8O27(OH)20;Mn Si O H;orthorhombic
Gahnite;Zn2+Al2O4;Zn Al O;cubic
Gaidonnayite;Na2Zr4+Si3O9·2H2O;Na Zr Si O H;orthorhombic
Gaildunningite;Hg2+3[N3-Hg2+2]18(Cl,I1-)24;Hg N Cl I;orthorhombic
Gainesite;Na2(Be,Li)Zr4+2(PO4)4·1.5H2O;Na Be Li Zr P O H;tetragonal
Gaitite;Ca2+2Zn2+(As5+O4)2·2H2O;Ca Zn As O H;triclinic
Gajardoite;KCa0.5As3+4O6Cl2·5H2O;K Ca As O Cl H;hexagonal
Gajardoite-(NH_4_);(N3-H4)As3+4O6Cl2(Ca0.5[box]0.5)(H2O)5;N H As O Cl Ca;hexagonal
Galaxite;Mn2+Al2O4;Mn Al O;cubic
Galeaclolusite;Al6(As5+O4)3(OH)9(H2O)4·8H2O;Al As O H;orthorhombic
Galeite;Na15(S6+O4)5ClF4;Na S O Cl F;hexagonal
Galena;Pb2+S2-;Pb S;cubic
Galenobismutite;Pb2+Bi3+2S2-4;Pb Bi S;orthorhombic
Galgenbergite-(Ce);CaCe3+2(CO3)4·H2O;Ca Ce C O H;triclinic
Galileiite;NaFe2+4(PO4)3;Na Fe P O;hexagonal
Galkhaite;(Hg2+5Cu1+)CsAs3+4S2-12;Hg Cu Cs As S;cubic
Galliskiite;Ca4Al2(PO4)2F8·5H2O;Ca Al P O F H;triclinic
Gallite;Cu1+Ga3+S2-2;Cu Ga S;tetragonal
Gallobeudantite;Pb2+Ga3+3(As5+O4)(S6+O4)(OH)6;Pb Ga As O S H;hexagonal
Galloplumbogummite;Pb2+(Ga,Al)2Ge(PO4)2(OH)6;Pb Ga Al Ge P O H;hexagonal
Galuskinite;Ca7(SiO4)3(CO3);Ca Si O C;monoclinic
Gamagarite;Ba2Fe3+(V5+O4)2(OH);Ba Fe V O H;monoclinic
Gananite;Bi3+F3;Bi F;cubic
Ganomalite;Pb2+3Ca2(SiO4)(Si2O7);Pb Ca Si O;hexagonal
Ganophyllite;(K,Na)1-2Mn2+6(Si,Al)10O24(OH)4·7-11H2O;K Na Mn Si Al O H;monoclinic
Ganterite;Ba0.5(Na,K)0.5Al2(Si2.5Al1.5)O10(OH)2;Ba Na K Al Si O H;monoclinic
Gaotaiite;Ir3Te8;Ir Te;cubic
Garavellite;Fe2+Sb3+Bi3+S2-4;Fe Sb Bi S;orthorhombic
Garmite;CsLiMg2(Si4O10)F2;Cs Li Mg Si O F;monoclinic
Garpenbergite;Mn2+6As5+Sb5+O10(OH)2;Mn As Sb O H;orthorhombic
Garrelsite;NaBa3B7Si2O16(OH)4;Na Ba B Si O H;monoclinic
Garronite-Ca;Ca3(Al6Si10O32)·14H2O;Ca Al Si O H;tetragonal
Garronite-Na;Na6(Al6Si10O32)·8.5H2O;Na Al Si O H;monoclinic
Gartrellite;Pb2+Cu2+Fe3+(As5+O4)2(OH)·H2O;Pb Cu Fe As O H;triclinic
Garutiite;(Ni,Fe,Ir);Ni Fe Ir;hexagonal
Garyansellite;Mg2Fe3+(PO4)2(OH)·2H2O;Mg Fe P O H;orthorhombic
Gasparite-(Ce);Ce3+As5+O4;Ce As O;monoclinic
Gasparite-(La);La3+(As5+O4);La As O;monoclinic
Gasp?ite;Ni2+CO3;Ni C O;hexagonal
Gatedalite;Zr4+Mn2+2Mn3+4SiO12;Zr Mn O Si;tetragonal
Gatehouseite;Mn2+5(PO4)2(OH)4;Mn P O H;orthorhombic
Gatelite-(Ce);(Ca,Ce3+)4(Al,Mg,Fe2+)4(Si2O7)(SiO4)3(O,F,OH)3;Ca Ce Al Mg Fe Si O F H;monoclinic
Gatewayite;Ca6(As3+V4+3V5+9As5+6O51)·31H2O;Ca As V O H;monoclinic
Gatumbaite;CaAl2(PO4)2(OH)2·H2O;Ca Al P O H;monoclinic
Gaudefroyite;Ca4Mn3+3(BO3)3(CO3)O3;Ca Mn B O C;hexagonal
Gaultite;Na4Zn2+2Si7O18·5H2O;Na Zn Si O H;orthorhombic
Gauthierite;KPb2+[(U6+O2)7O5(OH)7]·8H2O;K Pb U O H;monoclinic
Gayite;NaMn2+Fe3+5(PO4)4(OH)6·2H2O;Na Mn Fe P O H;monoclinic
Gaylussite;Na2Ca(CO3)2·5H2O;Na Ca C O H;monoclinic
Gazeevite;BaCa6(SiO4)2(S6+O4)2O;Ba Ca Si O S;hexagonal
Gearksutite;CaAlF4(OH)·H2O;Ca Al F O H;triclinic
Gebhardite;Pb2+8As3+4O11Cl6;Pb As O Cl;monoclinic
Gedrite;[box]Mg2(Mg3Al2)(Si6Al2)O22(OH)2;Mg Al Si O H;orthorhombic
Geerite;Cu8S5;Cu S;cubic
Geffroyite;(Cu,Fe,Ag)9Se8;Cu Fe Ag Se;cubic
Gehlenite;Ca2Al(SiAl)O7;Ca Al Si O;tetragonal
Geigerite;Mn2+5(As5+O4)2(As5+O3OH)2·10H2O;Mn As O H;triclinic
Geikielite;MgTi4+O3;Mg Ti O;hexagonal
Gelosaite;Bi3+Mo6+(2-5x)Mo5+6xO7(OH)·H2O (0?x?0.4);Bi Mo O H;monoclinic
Geminite;Cu2+(As5+O3OH)·H2O;Cu As O H;triclinic
Gengenbachite;KFe3+3(H2PO4)2(HPO4)4·6H2O;K Fe H P O;hexagonal
Genkinite;Pt4Sb3;Pt Sb;tetragonal
Genplesite;Ca3Sn4+(S6+O4)2(OH)6·3H2O;Ca Sn S O H;hexagonal
Genthelvite;Be3Zn2+4(SiO4)3S2-;Be Zn Si O S;cubic
Geocronite;Pb2+14Sb3+6S2-23;Pb Sb S;monoclinic
Georgbarsanovite;Na12(Mn2+,Sr,REE)3Ca6Fe2+3Zr4+3Nb5+Si25O76Cl2·H2O;Na Mn Sr REE Ca Fe Zr Nb Si O Cl H;hexagonal
Georgbokiite;Cu2+5O2(Se4+O3)2Cl2;Cu O Se Cl;monoclinic
Georgechaoite;KNaZr4+Si3O9·2H2O;K Na Zr Si O H;orthorhombic
George-ericksenite;Na6CaMg(I5+O3)6(Cr6+O4)2·12H2O;Na Ca Mg I O Cr H;monoclinic
Georgeite;[Cu2+(OH)2-x(H2O)x][CO3]x/2;Cu O H C;
Georgerobinsonite;Pb2+4(Cr6+O4)2(OH)2FCl;Pb Cr O H F Cl;orthorhombic
Georgiadesite;Pb2+4(As3+O3)Cl4(OH);Pb As O Cl H;monoclinic
Gerasimovskite;Mn2+Ti4+3Nb5+2O12·9H2O;Mn Ti Nb O H;
Gerdtremmelite;Zn2+Al2As5+O4(OH)5;Zn Al As O H;triclinic
Gerenite-(Y);NaCaY3Si6O18·2H2O;Ca Na Y Si O H;triclinic
Gerhardtite;Cu2+2N5+O3(OH)3;Cu N O H;orthorhombic
Germanite;Cu1+8Cu2+5Fe3+2Ge4+2S2-16;Cu Fe Ge S;cubic
Germanocolusite;Cu1+9Cu2+4V3+Ge4+3S2-16;Cu V Ge S;cubic
Gersdorffite;Ni3+(AsS)3-;Ni As S;cubic
Gerstleyite;Na2(Sb,As)8S13·2H2O;Na Sb As S H O;monoclinic
Gerstmannite;Mn2+MgZn2+SiO4(OH)2;Mn Mg Zn Si O H;orthorhombic
Geschieberite;K2(U6+O2)(S6+O4)2·2H2O;K U O S H;orthorhombic
Getchellite;SbAsS3;Sb As S;monoclinic
Geuerite;Ag1+2Tl1+4Pb2+4As3+22S2-40;Ag Tl Pb As S;monoclinic
Geversite;PtSb2;Pt Sb;cubic
Ghiaraite;CaCl2·4H2O;Ca Cl H O;triclinic
Giacovazzoite;K5Fe3+3O(S6+O4)6·10H2O;K Fe O S H;monoclinic
Gianellaite;"[(N3-Hg2+2)2](S6+O4)(H2O)&lt;i&gt;x&lt;/i&gt;";Hg N S O H;cubic
Gibbsite;Al(OH)3;Al O H;monoclinic
Giessenite;(Cu1+,Fe2+)2Pb2+26.4(Bi3+,Sb3+)19.6S2-57;Cu Fe Pb Bi Sb S;monoclinic|orthorhombic
Giftgrubeite;CaMn2+2Ca2(As5+O4)2(As5+O3OH)2·4H2O;Ca Mn As O H;monoclinic
Gilalite;Cu2+5Si6O17·7H2O;Cu Si O H;monoclinic
