Column1;Column2;Column3;Column4
Akrochordite;Mn2+Mn2+2Mn2+2(As5+O4)2(OH)4(H2O)4;Mn As O H;monoclinic
Aksaite;MgB6O7(OH)6·2H2O;Mg B O H;orthorhombic
Aktashite;Cu1+6Hg2+3As3+4S2-12;Cu Hg As S;hexagonal
Alabandite;Mn2+S2-;Mn S;cubic
Alacr?nite;As8S9;As S;monoclinic
Alamosite;Pb2+SiO3;Pb Si O;monoclinic
Alarsite;AlAs5+O4;Al As O;hexagonal
Albertiniite;Fe2+(S4+O3)·3H2O;Fe S O H;monoclinic
Albite;NaAlSi3O8;Na Al Si O;monoclinic|triclinic
Albrechtschraufite;Ca4Mg(U6+O2)2(CO3)6F2·17H2O;Mg Ca F U O C H;triclinic
Alburnite;Ag1+8GeTe2-2S2-4;Ag Ge Te S;cubic
Alcantarillaite;[Fe3+0.5(H2O)4][CaAs3+2(Fe3+2.5W6+0.5)(As5+O4)2O7];Fe H O Ca As W;orthorhombic
Alcaparrosaite;K3Ti4+Fe3+(S6+O4)4O·2H2O;K Ti Fe S O H;monoclinic
Aldermanite;[Mg(H2O)6][Na(H2O)2Al3(PO4)2(OH)6]·H2O;Mg H O Na Al P;monoclinic|orthorhombic
Aldomarinoite;Sr2Mn3+(As5+O4)2(OH);Sr Mn As O H;monoclinic
Aldridgeite;(Cd2+,Ca)(Cu2+,Zn2+)4(S6+O4)2(OH)6·3H2O;Cd Ca Cu Zn S O H;monoclinic
Aleksandrovite;KCa7Sn4+2Li3Si12O36F2;K Ca Sn Li Si O F;monoclinic
Aleksite;Pb2+Bi3+2Te2-2S2-2;Pb Bi Te S;hexagonal
Aleutite;[Cu2+5O2](As5+O4)(V5+O4)·(Cu2+0.5[box]0.5)Cl;Cu O As V Cl;monoclinic
Alexearlite;Hg2+3(Mo6+O4)S2-2;Hg Mo O S;orthorhombic
Alexkhomyakovite;K6(Ca2Na)(CO3)5Cl·6H2O;K Ca Na C O Cl H;hexagonal
Alexkuznetsovite-(Ce);Ce3+2Mn2+(CO3)(Si2O7);Ce Mn C O Si;monoclinic
Alexkuznetsovite-(La);La2Mn2+(CO3)(Si2O7);La Mn C O Si;monoclinic
Alflarsenite;NaCa2Be3Si4O13(OH)·2H2O;Na Ca Be Si O H;monoclinic
Alforsite;Ba5(PO4)3Cl;Ba P O Cl;hexagonal
Alfredcasparite;Sr2Ti4+O(Si2O7);Sr Ti O Si;tetragonal
Alfredopetrovite;Al2(Se4+O3)3·6H2O;Al Se O H;hexagonal
Alfredstelznerite;Ca4B16O16(OH)24·19H2O;Ca H O B;orthorhombic
Algodonite;Cu1-xAsx (x ? 1/7);Cu As;hexagonal
Alicewilsonite-(YCe);Na2Sr2YCe3+(CO3)6·3H2O;Na Sr Y Ce C O H;triclinic
Alicewilsonite-(YLa);Na2Sr2YLa(CO3)6·3H2O;Na Sr Y La C O H;triclinic
Aliettite;Ca0.2Mg6(Si,Al)8O20(OH)4·4H2O;Ca Mg Si Al O H;
Allabogdanite;(Fe,Ni)2P;Fe Ni P;orthorhombic
Allactite;Mn2+7(As5+O4)2(OH)8;Mn As O H;monoclinic
Allanite-(Ce);CaCe3+Al2Fe2+(Si2O7)(SiO4)O(OH);Ca Ce Al Fe Si O H;monoclinic
Allanite-(La);CaLaFe2+Al2(Si2O7)(SiO4)O(OH);Ca La Al Fe Si O H;monoclinic
Allanite-(Nd);CaNdAl2Fe2+(Si2O7)(SiO4)O(OH);Ca Nd Al Fe Si O H;monoclinic
Allanite-(Sm);CaSm(Al2Fe2+)(Si2O7)(SiO4)O(OH);Ca Sm Al Fe Si O H;monoclinic
Allanite-(Y);CaYAl2Fe2+(Si2O7)(SiO4)O(OH);Ca Y Al Fe Si O H;monoclinic
Allanpringite;Fe3+3(PO4)2(OH)3·5H2O;Fe P O H;monoclinic
Allantoin;C4H6N4O3;C H N O;monoclinic
Allargentum;Ag1-xSbx (x=0.09-0.16);Ag Sb;hexagonal
Alleghanyite;Mn2+5(SiO4)2(OH)2;Mn Si O H;monoclinic
Allendeite;Sc4Zr4+3O12;Sc Zr O;hexagonal
Allochalcoselite;Cu1+Cu2+5Pb2+O2(Se4+O3)2Cl5;Cu Pb O Se Cl;monoclinic
Alloclasite;Co3+(AsS)3-;Co As S;monoclinic
Allophane;Al2O3(SiO2)1.3-2.0·2.5-3.0H2O;Al O Si H;
Alloriite;(Na,K,Ca)24(Na,Ca)4Ca4(Si,Al)48O96(S6+O4)4(S4+O3,CO3)2(OH,Cl)2(H2O,OH)4;Na K Ca Si Al O S C H Cl;hexagonal
Alluaivite;Na19(Ca,Mn2+)6(Ti4+,Nb5+)3Si26O74Cl·2H2O;Na Ca Mn Ti Nb Si O Cl H;hexagonal
Alluaudite;[box]NaMn2+Fe3+2(PO4)3;Na Mn Fe P O;monoclinic
Almagreraite;Cu2+Zn2+Mn4+3O8;Cu Zn Mn O;orthorhombic
Almandine;Fe2+3Al2(SiO4)3;Fe Al Si O;cubic
Almarudite;K([box],Na)2(Mn2+,Fe2+,Mg)2[(Be,Al)3Si12]O30;K Na Mn Fe Mg Be Al Si O;hexagonal
Almeidaite;Pb2+Zn2+2(Mn2+,Y)(Ti4+,Fe3+)18O36(OH,O)2;Pb Zn Mn Y Ti Fe O H;hexagonal
Alnaperb?eite-(Ce);(CaCe3+2.5Na0.5)Al4(Si2O7)(SiO4)3O(OH)2;Ca Ce Na Al Si O H;monoclinic
Alpeite;Ca4Mn3+2Al2(Mn3+Mg)(SiO4)2(Si3O10)(V5+O4)(OH)6;Ca Mn Al Mg Si O V H;orthorhombic
Alpersite;MgS6+O4·7H2O;Mg S O H;monoclinic
Alsakharovite-Zn;NaSrKZn2+(Ti4+,Nb5+)4(Si4O12)2(O,OH)4·7H2O;Na Sr K Zn Ti Nb Si O H;monoclinic
Alstonite;BaCa(CO3)2;Ba Ca C O;hexagonal|orthorhombic, triclinic
Altaite;Pb2+Te2-;Pb Te;cubic
Alterite;Zn2+2Fe3+4(S6+O4)4((C2)6+O4)2(OH)4·17H2O;Zn Fe S O C H;monoclinic
Althausite;Mg4(PO4)2(OH,O)(F,[box]);Mg P O H F;orthorhombic
Althupite;AlTh4+(U6+O2)7(PO4)4O2(OH)5·15H2O;Al Th U O P H;triclinic
Altisite;Na3K6Ti4+2Al2Si8O26Cl3;Na K Ti Al Si O Cl;monoclinic
Aluminite;Al2S6+O4(OH)4·7H2O;Al S O H;monoclinic
